No,Classification,Name of Cultural Heritage,Korean,Address,,,,,,,
2287,Treasure,"Gilt-bronze Seated Bodhisattva of Botasa Temple, Seoul",서울 보타사 금동보살좌상 ( 서울 普陀寺 金銅菩薩坐像 ),Seoul Seongbuk-gu,,,,,,,
2288,Treasure,"Wooden Seated Sakyamuni Buddha Triad of Bongeunsa Temple, Seoul",서울 봉은사 목조석가여래삼불좌상 ( 서울 奉恩寺 木造釋迦如來三佛坐像 ),Seoul Gangnam-gu,,,,,,,
2289,Treasure,"Rock-carved Seated Bodhisattva at Okcheonam Hermitage, Seoul",서울 옥천암 마애보살좌상 ( 서울 玉泉庵 磨崖菩薩坐像 ),Seoul Seodaemun-gu,,,,,,,
2290,Treasure,"Stone Ksitigarbha Bodhisattva Triad and Ten Underworld Kings of Cheongnyongsa Temple, Seoul",서울 청룡사 석조지장보살삼존상 및 시왕상 일괄 ( 서울 靑龍寺 石造地藏菩薩三尊像 및 十王像 一括 ),Seoul Jongno-gu,,,,,,,
2291,Treasure,"Wooden Ksitigarbha Bodhisattva Triad and Ten Underworld Kings of Hwagyesa Temple, Seoul",서울 화계사 목조지장보살삼존상 및 시왕상 일괄 ( 서울 華溪寺 木造地藏菩薩三尊像 및 十王像 一括 ),Seoul Gangbuk-gu,,,,,,,
2292,Treasure,Bronze Ritual Object with Farming Scene,농경문 청동기 ( 農耕文 靑銅器 ),Seoul Yongsan-gu,,,,,,,
2293,Treasure,"Stone Seated Sakyamuni Buddha Triad of Jangansa Temple, Gijang",기장 장안사 석조석가여래삼불좌상 ( 機張 長安寺 石造釋迦如來三佛坐像 ),Busan Gijang-gun,,,,,,,
2294,Treasure,"Manchwidang House, Uiseong",의성 만취당 ( 義城 晩翠堂 ),Gyeongsangbuk-do Uiseong-gun,,,,,,,
2295,Treasure,"Yeongsanjeon Hall of Tongdosa Temple, Yangsan",양산 통도사 영산전 ( 梁山 通度寺 靈山殿 ),Gyeongsangnam-do Yangsan-si,,,,,,,
2296,Treasure,"Daegwangmyeongjeon Hall of Tongdosa Temple, Yangsan",양산 통도사 대광명전 ( 梁山 通度寺 大光明殿 ),Gyeongsangnam-do Yangsan-si,,,,,,,
2297,Treasure,"Rock-carved Seated Bodhisattva of Botasa Temple, Seoul",서울 보타사 마애보살좌상 ( 서울 普陀寺 磨崖菩薩坐像 ),Seoul Seongbuk-gu,,,,,,,
2298,Treasure,"Wooden Seated Vairocana Buddha of Biraesa Temple, Daejeon",대전 비래사 목조비로자나불좌상 ( 大田 飛來寺 木造毘盧遮那佛坐像 ),Daejeon Daedeok-gu,,,,,,,
2299,Treasure,"Buncheong Memorial Tablet of Kim Myeong-ri with Inlaid Inscription of ""the Fourth Jeongtong Year""",분청사기 상감‘정통4년명’ 김명리 묘지 ( 粉靑沙器 象嵌‘正統四年銘’ 金明理 墓誌 ),Gyeonggi-do Yongin-si,,,,,,,
2300,Treasure,"Daeungjeon Hall of Daegoksa Temple, Uiseong",의성 대곡사 대웅전 ( 義城 大谷寺 大雄殿 ),Gyeongsangbuk-do Uiseong-gun,,,,,,,
2301,Treasure,"Five-story Stone Pagoda at Bongjeongam Hermitage, Inje",인제 봉정암 오층석탑 ( 麟蹄 鳳頂庵 五層石塔 ),Gangwon-do Inje-gun,,,,,,,
2302,Treasure,"Wooden Seated Avalokitesvara Bodhisattva of Cheongnyongsa Temple, Gimje",김제 청룡사 목조관음보살좌상 ( 金堤 靑龍寺 木造觀音菩薩坐像 ),Jeollabuk-do Gimje-si,,,,,,,
2303,Treasure,"Wooden Sakyamuni Buddha Triad and Clay Seated Sixteen Arhats of Dabosa Temple, Naju",나주 다보사 목조석가여래삼존상 및 소조십육나한좌상 ( 羅州 多寶寺 木造釋迦如來三尊像 및 塑造十六羅漢坐像 ),Jeollanam-do Naju-si,,,,,,,
2304,Treasure,Royal Certificate of Meritorious Subject Issued to Jeong Jong and Related Documents,정종 적개공신 교서 및 관련 고문서 ( 鄭種 敵愾功臣 敎書 및 關聯 古文書 ),Gyeongsangbuk-do Goryeong-gun,,,,,,,
2305,Treasure,"Usnisa Vijaya Dharani (Supreme Sacrosanct Dharani), the First Tripitaka Koreana Edition",초조본 불정최승다라니경 ( 初雕本 佛頂㝡勝陁羅尼經 ),Seoul Gwanak-gu,,,,,,,
2306,Treasure,"Manjusrinamastasataka (Sanskrit Praises of the One Hundred and Eight Names of Manjusri), the First Tripitaka Koreana Edition",초조본 불설문수사리일백팔명범찬 ( 初雕本 佛說文殊師利一百八名梵讚 ),Seoul Gwanak-gu,,,,,,,
2307,Treasure,"Beobwon jurim (A Grove of Pearls in the Garden of the Dharma), the First Tripitaka Koreana Edition, Volume 82",초조본 법원주림 권82 ( 初雕本 法苑珠林 卷八十二 ),Seoul Gwanak-gu,,,,,,,
2308,Treasure,"Bulseol ilche yeorae geumgang sameop choesang bimil daegyo wanggyeong, the First Tripitaka Koreana Edition, Volume 4",초조본 불설일체여래금강삼업최상비밀대교왕경 권4 ( 初雕本 佛說一切如來金剛三業最上秘密大敎王經 卷四 ),Seoul Gwanak-gu,,,,,,,
2309,Treasure,"Geungnakjeon Hall of Bogwangsa Temple, Cheongsong",청송 보광사 극락전 ( 靑松 普光寺 極樂殿 ),Gyeongsangbuk-do Cheongsong-gun,,,,,,,
2310,Treasure,"Bronze Seated Bodhisattva of Goseongsa Temple, Gangjin",강진 고성사 청동보살좌상 ( 康津 高聲寺 靑銅菩薩坐像 ),Jeollanam-do Gangjin-gun,,,,,,,
2311,Treasure,"Wooden Standing Bodhisattva of Gwaneumsa Temple, Iksan",익산 관음사 목조보살입상 ( 益山 觀音寺 木造菩薩立像 ),Jeollabuk-do Iksan-si,,,,,,,
2312,Treasure,"Seated Sakyamuni Buddha Triad of Jeongsusa Temple, Gangjin",강진 정수사 석가여래삼불좌상 ( 康津 淨水寺 釋迦如來三佛坐像 ),Jeollanam-do Gangjin-gun,,,,,,,
2313,Treasure,"Bronze Wick Trimmer Excavated from Wolji Pond, Gyeongju",경주 월지 금동초심지가위 ( 慶州 月池 金銅燭鋏 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
2314,Treasure,"Stele of Sataekjijeok, Buyeo",부여 사택지적비 ( 扶餘 砂宅智積碑 ),Chungcheongnam-do Buyeo-gun,,,,,,,
2315,Treasure,"Avatamsaka Sutra (The Flower Garland Sutra), Zhenyuan Version, Volume 8",대방광불화엄경 정원본 권8 ( 大方廣佛華嚴經 貞元本 卷八 ),Seoul Gwanak-gu,,,,,,,
2316,Treasure,"Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, Volume 34",대방광불화엄경 주본 권34 ( 大方廣佛華嚴經 周本 卷三十四 ),Seoul Gwanak-gu,,,,,,,
2317,Treasure,"Moguja susimgyeol (Golden Teachings on Mind Cultivation), Korean Translation",목우자수심결(언해)(2014) ( 牧牛子修心訣(諺解)(2014) ),Seoul Yongsan-gu,,,,,,,
2318,Treasure,"Daeungjeon Hall of Yongmunsa Temple, Namhae",남해 용문사 대웅전 ( 南海 龍門寺 大雄殿 ),Gyeongsangnam-do Namhae-gun,,,,,,,
2319,Treasure,"Wontongjeon Hall of Pagyesa Temple, Daegu",대구 파계사 원통전 ( 大邱 把溪寺 圓通殿 ),Daegu Dong-gu,,,,,,,
2320,Treasure,"Clay Seated Sakyamuni Buddha Triad of Ssanggyesa Temple, Nonsan",논산 쌍계사 소조석가여래삼불좌상 ( 論山 雙溪寺 塑造釋迦如來三佛坐像 ),Chungcheongnam-do Nonsan-si,,,,,,,
2321,Treasure,"Wooden Ksitigarbha Bodhisattva Triad and Clay Ten Underworld Kings of Seonwonsa Temple, Namwon",남원 선원사 목조지장보살삼존상 및 소조시왕상 일괄 ( 南原 禪院寺 木造地藏菩薩三尊像 및 塑造十王像 一括 ),Jeollabuk-do Namwon-si,,,,,,,
2322,Treasure,"Wooden Seated Amitabha Buddha Triad of Jeongsusa Temple, Wanju",완주 정수사 목조아미타여래삼존좌상 ( 完州 淨水寺 木造阿彌陀如來三尊坐像 ),Jeollabuk-do Wanju-gun,,,,,,,
2323,Treasure,"Buddhist Painting of Gobangsa Temple, Gimcheon (Amitabha Buddha)",김천 고방사 아미타여래설법도 ( 金泉 古方寺 阿彌陀如來說法圖 ),Gyeongsangbuk-do Gimcheon-si,,,,,,,
2324,Treasure,"Buddhist Painting of Guryongsa Temple, Wonju (Three Bodhisattvas)",원주 구룡사 삼장보살도 ( 原州 龜龍寺 三藏菩薩圖 ),Gangwon-do Pyeongchang-gun,,,,,,,
2325,Treasure,"Buddhist Painting of Seobongsa Temple, Daegu (Ksitigarbha Bodhisattva and Ten Underworld Kings)",대구 서봉사 지장시왕도 ( 大邱 瑞鳳寺 地藏十王圖 ),Daegu Nam-gu,,,,,,,
2326,Treasure,"Buddhist Painting of Eunhaesa Temple, Yeongcheon (Rebirth Through the Recollection of the Buddha)",영천 은해사 염불왕생첩경도 ( 永川 銀海寺 念佛往生捷徑圖 ),Gyeongsangbuk-do Yeongcheon-si,,,,,,,
2327,Treasure,"Bronze Bell of Beopjusa Temple, Boeun",보은 법주사 동종 ( 報恩 法住寺 銅鍾 ),Chungcheongbuk-do Boeun-gun,,,,,,,
2328,Treasure,"Buddhist Altar at Daeungjeon Hall of Jikjisa Temple, Gimcheon",김천 직지사 대웅전 수미단 ( 金泉 直指寺 大雄殿 須彌壇 ),Gyeongsangbuk-do Gimcheon-si,,,,,,,
2329,Treasure,"Wooden Tablets for the Buddha Triad of Muryangsa Temple, Buyeo",부여 무량사 삼전패 ( 扶餘 無量寺 三殿牌 ),Chungcheongnam-do Buyeo-gun,,,,,,,
2330,Treasure,"Mural Painting in Geungnakjeon Hall of Daewonsa Temple, Boseong (Avalokitesvara Bodhisattva and Buddhist Monk Bodhidharma)",보성 대원사 극락전 관음보살 달마대사 벽화 ( 寶城 大原寺 極樂殿 觀音菩薩 達摩大師 壁畵 ),Jeollanam-do Boseong-gun,,,,,,,
2331,Treasure,"Mural Painting in Daeungjeon Hall of Heungguksa Temple, Yeosu (Avalokitesvara Bodhisattva)",여수 흥국사 대웅전 관음보살 벽화 ( 麗水 興國寺 大雄殿 觀音菩薩 壁畵 ),Jeollanam-do Yeosu-si,,,,,,,
2332,Treasure,"Seated Sakyamuni Buddha Triad of Daeheungsa Temple, Haenam",해남 대흥사 석가여래삼불좌상 ( 海南 大興寺 釋迦如來三佛坐像 ),Jeollanam-do Haenam-gun,,,,,,,
2333,Treasure,Sosang palgyeongdo (Eight Scenic Spots of the Sosang River),소상팔경도 ( 瀟湘八景圖 ),Gyeongsangnam-do Jinju-si,,,,,,,
2334,Treasure,"Avatamsaka Sutra (The Flower Garland Sutra), Zhou Version, Volume 72",대방광불화엄경 주본 권72 ( 大方廣佛華嚴經 周本 卷七十二 ),Gyeongsangnam-do Hapcheon-gun,,,,,,,
2335,Treasure,"Three-story Stone Pagoda at Changnimsa Temple Site in Namsan Mountain, Gyeongju",경주 남산 창림사지 삼층석탑 ( 慶州 南山 昌林寺址 三層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
2336,Treasure,"Jeokgwangjeon Hall of Bogyeongsa Temple, Pohang",포항 보경사 적광전 ( 浦項 寶鏡寺 寂光殿 ),Gyeongsangbuk-do Pohang-si,,,,,,,
2337,Treasure,Celadon Prunus Vase with Inlaid Cloud and Crane Design,청자 상감운학문 매병 ( 靑磁 象嵌雲鶴文 梅甁 ),Seoul Yongsan-gu,,,,,,,
2338,Treasure,"Record of the Nine-story Wooden Pagoda from Hwangnyongsa Temple Site, Gyeongju",경주 황룡사 구층목탑 금동찰주본기 ( 慶州 皇龍寺 九層木塔 金銅刹柱本記 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
2339,Treasure,Copper Stupa Record of Buddhist Monk Yeomgeo,동제 염거화상 탑지 ( 銅製 廉巨和尙 塔誌 ),Gangwon-do Chuncheon-si,,,,,,,
2340,Treasure,"Gilt-bronze Seated Avalokitesvara Bodhisattva from Jangyeon-ri, Hoeyang (Presumed)",전 회양 장연리 금동관음보살좌상 ( 傳 淮陽 長淵里 金銅觀音菩薩坐像 ),Gangwon-do Chuncheon-si,,,,,,,
2341,Treasure,"Iron Seated Bhaisajyaguru Buddha from Hakseong-dong, Wonju",원주 학성동 철조약사여래좌상 ( 原州 鶴城洞 鐵造藥師如來坐像 ),Gangwon-do Chuncheon-si,,,,,,,
2342,Treasure,"Bronze Portable Shrine and Gilt-bronze Seated Amitabha Buddha Triad Excavated from the Stone Pagoda in Maegok-dong, Suncheon",순천 매곡동 석탑 청동불감 및 금동아미타여래삼존좌상 ( 順天 梅谷洞 石塔 靑銅佛龕 및 金銅阿彌陀如來三尊坐像 ),Gwangju Buk-gu,,,,,,,
2343,Treasure,Pungakdocheop (Album of Geumgangsan Mountain) by Jeong Seon,정선 필 풍악도첩 ( 鄭敾 筆 楓嶽圖帖 ),Seoul Yongsan-gu,,,,,,,
2344,Treasure,Wansan-bu jido (Map of Wansan-bu),완산부지도 ( 完山府地圖 ),Jeollabuk-do Jeonju-si,,,,,,,
2345,Treasure,"Stele of Buddhist Monk Nanggong from Taejasa Temple, Bonghwa",봉화 태자사 낭공대사탑비 ( 奉化 太子寺 朗空大師塔碑 ),Seoul Yongsan-gu,,,,,,,
2346,Treasure,"Bronze Bowl with Inscription of ""Great King Gwanggaeto"" Excavated from Houchong Tomb, Gyeongju",경주 호우총 출토 청동 ‘광개토대왕’명 호우 ( 慶州 壺杅塚 出土 靑銅 ‘廣開土大王’銘 壺杅 ),Seoul Yongsan-gu,,,,,,,
2347,Treasure,Huigyeongnu banghoedo (Gathering at Huigyeongnu Pavilion),희경루방회도 ( 喜慶樓榜會圖 ),Seoul Jung-gu,,,,,,,
2348,Treasure,"Goryeo Inkstick with Inscription of ""Inkstick from Danyang"" Excavated from Myeongam-dong, Cheongju",청주 명암동 출토 ‘단산오옥’명 고려 먹 ( 淸州 明岩洞 出土 ‘丹山烏玉’銘 高麗 墨 ),Chungcheongbuk-do Cheongju-si,,,,,,,
2349,Treasure,"Changuimun Gate, Seoul",서울 창의문 ( 서울 彰義門 ),Seoul Jongno-gu,,,,,,,
2350,Treasure,Buddhist Painting of the Goryeo Dynasty (Kalika of the Sixteen Arhats),고려 십육나한도(제7 가리가존자) ( 高麗 十六羅漢圖(第七 迦理迦尊者) ),Busan Suyeong-gu,,,,,,,
2351,Treasure,Buddhist Painting of the Goryeo Dynasty (Ajita of the Sixteen Arthats),고려 십육나한도(제15 아벌다존자) ( 高麗 十六羅漢圖(第十五 阿伐多尊者) ),Seoul Yongsan-gu,,,,,,,
2352,Treasure,Buddhist Painting of the Goryeo Dynasty (Five Hundred Arhats),고려 오백나한도 ( 高麗 五百羅漢圖 ),Seoul Yongsan-gu,,,,,,,
2353,Treasure,Sinmyo samwol munmugwa jeonsi bangmok (Roster of the Successful Candidates of the State Examination in 1471),신묘삼월 문무과전시방목 ( 辛卯三月 文武科殿試榜目 ),Seoul Jongno-gu,,,,,,,
2354,Treasure,Shurangama Sutra (The Sutra of the Heroic One),대불정여래밀인수증요의제보살만행수능엄경(2016) ( 大佛頂如來密因修證了義諸菩薩萬行首楞嚴經(2016) ),Seoul Seocho-gu,,,,,,,
2355,Treasure,"Yogacarabhumi Sastra (Discourse on the Stages of Yogic Practice), the Second Tripitaka Koreana Edition, Volume 20",재조본 유가사지론 권20 ( 再雕本 瑜伽師地論 巻二十 ),Seoul Yongsan-gu,,,,,,,
2356,Treasure,Painting of Amitabha Buddha with Eight Bodhisattvas and Painting of Goryeo King Taejo’s Worship of Dharmodgata Bodhisattva by No Yeong,노영 필 아미타여래구존도 및 고려 태조 담무갈보살 예배도 ( 魯英 筆 阿彌陀如來九尊圖 및 高麗 太祖 曇無竭菩薩 禮拜圖 ),Seoul Yongsan-gu,,,,,,,
2357,Treasure,"Buddhist Painting of Cheoneunsa Temple, Gurye (Three Bodhisattvas)",구례 천은사 삼장보살도 ( 求禮 泉隱寺 三藏菩薩圖 ),Jeollanam-do Gurye-gun,,,,,,,
2358,Treasure,"Wooden Seated Avalokitesvara Bodhisattva and Mahasthamaprapta Bodhisattva of Cheoneunsa Temple, Gurye",구례 천은사 목조관세음보살좌상 및 대세지보살좌상 ( 求禮 泉隱寺 木造觀世音菩薩坐像 및 大勢至菩薩坐像 ),Jeollanam-do Gurye-gun,,,,,,,
2359,Treasure,"Gilt-bronze Portable Shrine and Gilt-bronze Seven Seated Amitabha Buddhas Excavated from the Seven-story Stone Pagoda of Simgoksa Temple, Iksan",익산 심곡사 칠층석탑 출토 금동불감 및 금동아미타여래칠존좌상 ( 益山 深谷寺 七層石塔 出土 金銅佛龕 및 金銅阿彌陀如來七尊坐像 ),Jeollabuk-do Iksan-si,,,,,,,
2360,Treasure,"Gilt-bronze Seated Thousand-hand Avalokitesvara Bodhisattva of Heungcheonsa Temple, Seoul",서울 흥천사 금동천수관음보살좌상 ( 서울 興天寺 金銅千手觀音菩薩坐像 ),Seoul Seongbuk-gu,,,,,,,
2361,Treasure,"Ikjae nango (Collected Works of Yi Je-hyeon), Volumes 6-7",익재난고 권6~7 ( 益齋亂藁 卷六~七 ),Daegu Dalseo-gu,,,,,,,
2362,Treasure,Yeogong paeseol (Scribblings of Old Man Oak),역옹패설 ( 櫟翁稗說 ),Daegu Dalseo-gu,,,,,,,
2363,Treasure,Toegye seonsaeng munjip (Collected Works of Yi Hwang),퇴계선생문집 ( 退溪先生文集 ),Daegu Dalseo-gu,,,,,,,
2364,Treasure,Printing Woodblocks of Toegye seonsaeng munjip (Collected Works of Yi Hwang),퇴계선생문집 목판 ( 退溪先生文集 木板 ),Gyeongsangbuk-do Andong-si,,,,,,,
2365,Treasure,"Daeungjeon Hall of Unsusa Temple, Busan",부산 운수사 대웅전 ( 釜山 雲水寺 大雄殿 ),Busan Sasang-gu,,,,,,,
2366,Treasure,Portrait of Seo Gyeong-u and Storage Case,서경우 초상 및 함 ( 徐景雨 肖像 및 函 ),Gyeonggi-do Pocheon-si,,,,,,,
2367,Treasure,Portrait of Seo Mun-jung and Storage Case,서문중 초상 및 함 ( 徐文重 肖像 및 函 ),Gyeonggi-do Pocheon-si,,,,,,,
2368,Treasure,Silver-gilt Flower-shaped Cup with Stand,은제도금화형탁잔 ( 銀製鍍金花形托盞 ),Seoul Yongsan-gu,,,,,,,
2369,Treasure,Juyeok chamdonggye (The Kinship of the Three in Accordance with the Book of Changes),주역참동계 ( 周易參同契 ),Seoul Gangseo-gu,,,,,,,
2370,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-1) ( 朝鮮王朝儀軌(2016-1) ),Seoul Gwanak-gu,,,,,,,
2371,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-2) ( 朝鮮王朝儀軌(2016-2) ),Gyeonggi-do Seongnam-si,,,,,,,
2372,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-3) ( 朝鮮王朝儀軌(2016-3) ),Seoul Jongno-gu,,,,,,,
2373,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-4) ( 朝鮮王朝儀軌(2016-4) ),Gyeongsangnam-do Sacheon-si,,,,,,,
2374,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-5) ( 朝鮮王朝儀軌(2016-5) ),Seoul Seocho-gu,,,,,,,
2375,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-6) ( 朝鮮王朝儀軌(2016-6) ),Busan Geumjeong-gu,,,,,,,
2376,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-7) ( 朝鮮王朝儀軌(2016-7) ),Seoul Yongsan-gu,,,,,,,
2377,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-8) ( 朝鮮王朝儀軌(2016-8) ),Seoul Seodaemun-gu,,,,,,,
2378,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-9) ( 朝鮮王朝儀軌(2016-9) ),Gangwon-do Samcheok-si,,,,,,,
2379,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-10) ( 朝鮮王朝儀軌(2016-10) ),Seoul Jongno-gu,,,,,,,
2380,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-11) ( 朝鮮王朝儀軌(2016-11) ),Chungcheongbuk-do Cheongju-si,,,,,,,
2381,Treasure,Royal Protocols of the Joseon Dynasty,조선왕조의궤(2016-12) ( 朝鮮王朝儀軌(2016-12) ),Seoul Seodaemun-gu,,,,,,,
2382,Treasure,Daeseongjeon Shrine of Jejuhyanggyo Local Confucian School,제주향교 대성전 ( 濟州鄕校 大成殿 ),Jeju-do Jeju-si,,,,,,,
2383,Treasure,Buddhist Painting of the Goryeo Dynasty (Avalokitesvara Bodhisattva),고려 수월관음보살도 ( 高麗 水月觀音菩薩圖 ),Seoul Gwanak-gu,,,,,,,
2384,Treasure,"Reliquaries from the East and West Three-story Stone Pagodas from Galhangsa Temple Site, Gimcheon",김천 갈항사지 동·서 삼층석탑 출토 사리장엄구 ( 金泉 葛項寺址 東·西 三層石塔 出土 舍利莊嚴具 ),Daegu Suseong-gu,,,,,,,
2385,Treasure,"White Porcelain Jar from Cheongjin-dong, Seoul",서울 청진동 출토 백자항아리 ( 서울 淸進洞 出土 白磁壺 ),Seoul Jongno-gu,,,,,,,
2386,Treasure,Daemyeongnyul (The Great Ming Code),대명률 ( 大明律 ),Seoul Jongno-gu,,,,,,,
2387,Treasure,Bronze Gong with Inscription of “the Sixth Hamtong Year”,함통6년명 청동북 ( 咸通六年銘 靑銅金鼓 ),Seoul Yongsan-gu,,,,,,,
2388,Treasure,Printing Woodblocks of Saddharmapundarika Sutra (The Lotus Sutra),묘법연화경 목판(2016) ( 妙法蓮華經 木板(2016) ),Incheon Ganghwa-gun,,,,,,,
2389,Treasure,Printing Woodblocks of Commentary on the Avatamsaka Sutra (The Flower Garland Sutra),대방광불화엄경소 목판 ( 大方廣佛華嚴經疏 木板 ),Jeollanam-do Suncheon-si,,,,,,,
2390,Treasure,"Printing Woodblocks of Gye chosimhagin mun (Admonitions to Beginning Students), Korean Translation",계초심학인문(언해) 목판 ( 誡初心學人文(諺解) 木板 ),Jeollanam-do Suncheon-si,,,,,,,
2391,Treasure,Printing Woodblocks of Incheon anmok (Vision of Five Supreme Patriarchs),인천안목 목판 ( 人天眼目 木板 ),Jeollanam-do Suncheon-si,,,,,,,
2392,Treasure,Printing Woodblocks of Jonggyeong chwaryo (Essentials of Reflections on the Essential Truth),종경촬요 목판 ( 宗鏡撮要 木板 ),Jeollanam-do Suncheon-si,,,,,,,
2393,Treasure,Printing Woodblocks of Cheongnyang dap Sunjong simyo beommun (Dialogue between Qingliang and Emperor Shunzong on Buddhist Teaching of the Mind),청량답순종심요법문 목판 ( 淸凉答順宗心要法門 木板 ),Jeollanam-do Suncheon-si,,,,,,,
2394,Treasure,"Printing Woodblocks of Cheonji myeongyang suryuk jammun (Miscellaneous Writings on the Dharma Function for the Spirits of Heaven and Earth, Darkness and Brightness, Water and Land)",천지명양수륙잡문 목판 ( 天地冥陽水陸雜文 木板 ),Jeollanam-do Suncheon-si,,,,,,,
2395,Treasure,Printing Woodblocks of Dalmadaesa gwansimnon (Treatise on Contemplation of the Mind by Buddhist Monk Bodhidharma),달마대사관심론 목판 ( 達磨大師觀心論 木板 ),Chungcheongnam-do Seosan-si,,,,,,,
2396,Treasure,Printing Woodblocks of Dalmadaesa hyeolmaengnon (Treatise on the Bloodstream Sermon by Buddhist Monk Bodhidharma),달마대사혈맥론 목판 ( 達磨大師血脈論 木板 ),Chungcheongnam-do Seosan-si,,,,,,,
2397,Treasure,"Yaongjeong Pavilion, Yecheon",예천 야옹정 ( 醴泉 野翁亭 ),Gyeongsangbuk-do Yecheon-gun,,,,,,,
2398,Treasure,"Wooden Seated Sakyamuni Buddha Triad of Munsusa Temple, Gochang",고창 문수사 목조석가여래삼불좌상 ( 高敞 文殊寺 木造釋迦如來三佛坐像 ),Jeollabuk-do Gochang-gun,,,,,,,
2399,Treasure,"Dry-lacquered Seated Bhaisajyaguru Buddha and Excavated Relics of Cheongnyangsa Temple, Bonghwa",봉화 청량사 건칠약사여래좌상 및 복장유물 ( 奉化 淸凉寺 乾漆藥師如來坐像 및 腹藏遺物 ),Gyeongsangbuk-do Bonghwa-gun,,,,,,,
2400,Treasure,"Wooden Seated Ksitigarbha Bodhisattva and Ten Underworld Kings of Munsusa Temple, Gochang",고창 문수사 목조지장보살좌상 및 시왕상 일괄 ( 高敞 文殊寺 木造地藏菩薩坐像 및 十王像 一括 ),Jeollabuk-do Gochang-gun,,,,,,,
2401,Treasure,"Artifacts Excavated from Geumjochong Tomb, Yangsan",양산 금조총 출토 유물 일괄 ( 梁山 金鳥塚 出土 遺物 一括 ),Busan Seo-gu,,,,,,,
2402,Treasure,"Gilt-bronze Crown Excavated from Bokcheon-dong, Busan",부산 복천동 출토 금동관 ( 釜山 福泉洞 出土 金銅冠 ),Gyeongsangnam-do Gimhae-si,,,,,,,
2403,Treasure,Calligraphy by King Jeongjo,정조 어찰첩 ( 正祖 御札帖 ),Seoul Yongsan-gu,,,,,,,
2404,Treasure,Joseon gyeonggukjeon (Administrative Code of the Joseon Dynasty),조선경국전 ( 朝鮮經國典 ),Gyeonggi-do Suwon-si,,,,,,,
2405,Treasure,Votive Reliquaries Offered by Yi Seong-gye,금강산 출토 이성계 발원 사리장엄구 일괄 ( 金剛山 出土 李成桂 發願 舍利莊嚴具 一括 ),Seoul Yongsan-gu,,,,,,,
2406,Treasure,Hyeopju myeonghyeon sipchosi (Annotated Collection of Poems by Worthies),협주명현십초시 ( 夾注名賢十抄詩 ),Gyeonggi-do Seongnam-si,,,,,,,
2407,Treasure,Portraits of Bak Dong-hyeong and Storage Cases,박동형 초상 및 함 ( 朴東亨 肖像 및 函 ),Gyeonggi-do Seongnam-si,,,,,,,
2408,Treasure,"Three-story Stone Pagoda at Mitansa Temple Site, Gyeongju",경주 미탄사지 삼층석탑 ( 慶州 味呑寺地 三層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
2409,Treasure,Yeongnam gihaenghwacheop (Album of Scenic Places in the Yeongnam Region) by Kim Yun-gyeom,김윤겸 필 영남기행화첩 ( 金允謙 筆 嶺南紀行畵帖 ),Busan Seo-gu,,,,,,,
2410,Treasure,Celadon Gourd-shaped Ewer and Saucer with Paste-on-paste Floral Design,청자 퇴화초화문 표주박모양 주전자 및 승반 ( 靑磁 堆花草花文 瓢形 注子 및 承盤 ),Seoul Yongsan-gu,,,,,,,
2411,Treasure,Celadon Bamboo Shoot-shaped Ewer,청자 죽순모양 주전자 ( 靑磁 竹筍形 注子 ),Seoul Yongsan-gu,,,,,,,
2412,Treasure,Celadon Brush Holder with Openwork Lotus and Scroll Design,청자 투각연당초문 붓꽂이 ( 靑磁 透刻蓮唐草文 筆架 ),Seoul Yongsan-gu,,,,,,,
2413,Treasure,"Buddhist Painting of Bulguksa Temple, Gyeongju (Three Bodhisattvas)",경주 불국사 삼장보살도 ( 慶州 佛國寺 三藏菩薩圖 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
2414,Treasure,"Buddhist Painting of Dorimsa Temple, Gokseong (Amitabha Buddha)",곡성 도림사 아미타여래설법도 ( 谷城 道林寺 阿彌陀如來說法圖 ),Jeollanam-do Gokseong-gun,,,,,,,
2415,Treasure,"Three-story Stone Pagoda at the Third Temple Site in Namsan Mountain, Gyeongju",경주 남산 용장계 지곡 제3사지 삼층석탑 ( 慶州 南山 茸長溪 池谷 第三寺地 三層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
