QuestionId,Name of Cultural Heritage,Question,Answer,AvgScore
0145858,Bronze Artifacts from Daegok-ri,What is the estimated age of the Bronze Artifacts from Daegok-ri?,"1,500 years",88.33
0146862,Rock-carved Seated Buddha in Wolchulsan Mountain,Who is believed to have carved the rock sculpture of the Buddha?,Monk Cheolgam,85.0
0146863,Rock-carved Seated Buddha in Wolchulsan Mountain,What is the significance of the Rock-carved Seated Buddha in Wolchulsan Mountain in Korean history?,Represents the spread of Buddhism in the region,76.67
0146864,Rock-carved Seated Buddha in Wolchulsan Mountain,What is the approximate height of the Buddha sculpture in Wolchulsan Mountain?,4 meters,76.67
0147868,Bronze Brazier with Demon Face Decoration,Who is credited with creating the demon face decoration on the bronze brazier?,Unknown,63.33
0147869,Bronze Brazier with Demon Face Decoration,What time period does this heritage belong to?,Ancient,63.33
0147870,Bronze Brazier with Demon Face Decoration,What was the purpose of using bronze as the material for this heritage?,Decorative and functional.,60.0
0148874,Bronze Rattles from Nonsan (Presumed),Where were the Bronze Rattles from Nonsan discovered?,Korea,60.0
0148875,Bronze Rattles from Nonsan (Presumed),What material were the Bronze Rattles from Nonsan made of?,Bronze,56.67
0148876,Bronze Rattles from Nonsan (Presumed),What was the purpose of Bronze Rattles in ancient Korea?,Used in rituals,78.33
0149880,Petroglyphs of Cheonjeon-ri,Who is believed to have created the petroglyphs at Cheonjeon-ri?,Prehistoric inhabitants,76.67
0149881,Petroglyphs of Cheonjeon-ri,What is the significance of Cheonjeon-ri in Korean history and culture?,It is a major archaeological site,66.67
0149882,Petroglyphs of Cheonjeon-ri,How many petroglyphs are estimated to be at Cheonjeon-ri?,"Over 1,000",85.0
0150886,Sipchil sachan gogeum tongyo (Essentials of Seventeen Dynastic Histories),Who compiled the 'Essentials of Seventeen Dynastic Histories'?,Choe Chi-won,91.67
0150887,Sipchil sachan gogeum tongyo (Essentials of Seventeen Dynastic Histories),What is the content of 'Sipchil sachan gogeum tongyo (Essentials of Seventeen Dynastic Histories)' about?,Dynastic histories,80.0
0150888,Sipchil sachan gogeum tongyo (Essentials of Seventeen Dynastic Histories),When was 'Sipchil sachan gogeum tongyo (Essentials of Seventeen Dynastic Histories)' created?,Unknown,91.67
0151892,Sipchil sachan gogeum tongyo (Essentials of Seventeen Dynastic Histories),Who compiled the 'Essentials of Seventeen Dynastic Histories'?,Choe Chi-won,91.67
0151893,Sipchil sachan gogeum tongyo (Essentials of Seventeen Dynastic Histories),What is the significance of the 'Essentials of Seventeen Dynastic Histories' in Korean history?,Compilation of historical records,80.0
0151894,Sipchil sachan gogeum tongyo (Essentials of Seventeen Dynastic Histories),How many different dynasties are covered in the 'Essentials of Seventeen Dynastic Histories'?,17,91.67
0152898,Dongnae seonsaeng gyojeong buksa sangjeol (Commentary on the History of the Northern Dynasties),Who was the author of 'Dongnae seonsaeng gyojeong buksa sangjeol'?,Choe Chi-won,91.67
0152899,Dongnae seonsaeng gyojeong buksa sangjeol (Commentary on the History of the Northern Dynasties),What is the purpose of the stele in this heritage?,To commemorate the construction of the Godalsa Temple,43.33
0152900,Dongnae seonsaeng gyojeong buksa sangjeol (Commentary on the History of the Northern Dynasties),What historical period does the 'Commentary on the History of the Northern Dynasties' cover?,Northern Dynasties period,90.0
0153904,Dongnae seonsaeng gyojeong buksa sangjeol (Commentary on the History of the Northern Dynasties),Who is believed to have engraved the characters on the stele of this heritage?,Choe Chi-won,53.33
0153905,Dongnae seonsaeng gyojeong buksa sangjeol (Commentary on the History of the Northern Dynasties),What is the approximate size of the stele of this heritage?,2.5 meters,43.33
0153906,Dongnae seonsaeng gyojeong buksa sangjeol (Commentary on the History of the Northern Dynasties),In what year was this heritage created?,633 AD,90.0
0154910,Songjo pyojeon chongnyu (Collection of Appeals and Letters to the Emperors of the Song Dynasty),Who compiled the 'Collection of Appeals and Letters to the Emperors of the Song Dynasty'?,Wang Anshi,90.0
0154911,Songjo pyojeon chongnyu (Collection of Appeals and Letters to the Emperors of the Song Dynasty),What is the significance of this heritage in Chinese literature?,It reflects the political and social conditions of the time.,53.33
0154912,Songjo pyojeon chongnyu (Collection of Appeals and Letters to the Emperors of the Song Dynasty),In what language are the appeals and letters in this heritage written?,Chinese,83.33
0155916,Joseon wangjo sillok (Annals of the Joseon Dynasty),What is the significance of the 'Joseon wangjo sillok' in Korean history?,Official annals of the Joseon Dynasty,90.0
0155917,Joseon wangjo sillok (Annals of the Joseon Dynasty),Who was responsible for compiling the 'Joseon wangjo sillok'?,Royal secretariat and the Board of Astronomy,83.33
0155918,Joseon wangjo sillok (Annals of the Joseon Dynasty),How many volumes make up the complete 'Joseon wangjo sillok'?,"1,893 volumes",90.0
0156922,Joseon wangjo sillok (Annals of the Joseon Dynasty),What is the title of the official records of the Joseon Dynasty?,Joseon wangjo sillok,100.0
0156923,Joseon wangjo sillok (Annals of the Joseon Dynasty),Who was responsible for compiling the Annals of the Joseon Dynasty?,King Sejong,85.0
0156924,Joseon wangjo sillok (Annals of the Joseon Dynasty),In what language were the Annals of the Joseon Dynasty written?,Classical Chinese,81.67
0157928,Joseon wangjo sillok (Annals of the Joseon Dynasty),Who was the ruler of the Joseon Dynasty during the compilation of this heritage?,King Sejong,73.33
0157929,Joseon wangjo sillok (Annals of the Joseon Dynasty),What is the significance of the 'Joseon wangjo sillok' in Korean history?,It is the official annals of the Joseon Dynasty.,90.0
0157930,Joseon wangjo sillok (Annals of the Joseon Dynasty),How long did the compilation of the 'Joseon wangjo sillok' take?,Over 200 years.,81.67
0158934,Joseon wangjo sillok (Annals of the Joseon Dynasty),Who established the 'Joseon wangjo sillok'?,King Sejong,85.0
0158935,Joseon wangjo sillok (Annals of the Joseon Dynasty),What is the purpose of the 'Joseon wangjo sillok'?,Record history,80.0
0158936,Joseon wangjo sillok (Annals of the Joseon Dynasty),In what language are the annals written?,Classical Chinese,86.67
0159940,Joseon wangjo sillok (Annals of the Joseon Dynasty),Who ordered the compilation of the Joseon wangjo sillok?,King Sejong,90.0
0159941,Joseon wangjo sillok (Annals of the Joseon Dynasty),What is the significance of the Joseon wangjo sillok in Korean history?,It is the official record of the Joseon Dynasty.,85.0
0159942,Joseon wangjo sillok (Annals of the Joseon Dynasty),How many volumes are included in the complete set of the Joseon wangjo sillok?,"1,893 volumes.",90.0
0160946,Joseon wangjo sillok (Annals of the Joseon Dynasty),Who compiled the 'Joseon wangjo sillok'?,King Sejong,86.67
0160947,Joseon wangjo sillok (Annals of the Joseon Dynasty),What is the significance of the 'Joseon wangjo sillok' in Korean history?,It is the official record of the Joseon Dynasty.,90.0
0160948,Joseon wangjo sillok (Annals of the Joseon Dynasty),In what language are the annals written?,Classical Chinese,90.0
0161952,Bibyeonsa deungnok (Records of the Border Defense Council),Who is credited with writing the 'Bibyeonsa deungnok (Records of the Border Defense Council)'?,Choe Chi-won,85.0
0161953,Bibyeonsa deungnok (Records of the Border Defense Council),What is the significance of the Godalsa Temple in Korean history?,It was a major temple in the Silla period.,36.67
0161954,Bibyeonsa deungnok (Records of the Border Defense Council),What is the approximate date range of the historical events recorded in the 'Bibyeonsa deungnok'?,7th century AD,85.0
0162958,Ilseongnok (Daily Records of the Royal Court and Important Officials),What is the title of this heritage?,Ilseongnok,76.67
0162959,Ilseongnok (Daily Records of the Royal Court and Important Officials),Who was the author of 'Ilseongnok (Daily Records of the Royal Court and Important Officials)'?,Choe Chi-won,63.33
0162960,Ilseongnok (Daily Records of the Royal Court and Important Officials),What historical records are contained in 'Ilseongnok'?,Daily records of the royal court and important officials.,91.67
0163964,Gold Diadem Ornaments of King Muryeong,Who was the owner of the Gold Diadem Ornaments of King Muryeong?,King Muryeong,91.67
0163965,Gold Diadem Ornaments of King Muryeong,Where were the Gold Diadem Ornaments of King Muryeong discovered?,South Korea,73.33
0163966,Gold Diadem Ornaments of King Muryeong,What was the occupation of King Muryeong?,King,53.33
0164970,Gold Diadem Ornaments of the Queen Consort of King Muryeong,Who was the Queen Consort of King Muryeong?,Queen Seondeok,53.33
0164971,Gold Diadem Ornaments of the Queen Consort of King Muryeong,In which country were the Gold Diadem Ornaments discovered?,South Korea,73.33
0164972,Gold Diadem Ornaments of the Queen Consort of King Muryeong,What is the significance of these ornaments in Korean history?,Royal attire symbols,66.67
0165976,Gold Earrings of King Muryeong,Who was the owner of the Gold Earrings of King Muryeong?,King Muryeong,90.0
0165977,Gold Earrings of King Muryeong,Where were these earrings discovered?,Tomb of King Muryeong,90.0
0165978,Gold Earrings of King Muryeong,What is the significance of these earrings in Korean history?,They are important artifacts from the Baekje period.,66.67
0166982,Gold Earrings of the Queen Consort of King Muryeong,Who was the Queen Consort of King Muryeong?,Unknown,60.0
0166983,Gold Earrings of the Queen Consort of King Muryeong,What period does the reign of King Muryeong belong to?,Baekje period,66.67
0166984,Gold Earrings of the Queen Consort of King Muryeong,Where are these gold earrings currently displayed?,National Museum of Korea,66.67
0167988,Gold Necklaces of the Queen Consort of King Muryeong,Who was the King associated with the Queen Consort of King Muryeong?,King Muryeong,60.0
0167989,Gold Necklaces of the Queen Consort of King Muryeong,What was the name of the Queen Consort of King Muryeong?,Queen Seondeok,53.33
0167990,Gold Necklaces of the Queen Consort of King Muryeong,Where is this heritage currently housed?,Korea National Treasure No. 78,70.0
0168994,Gold Hairpin of King Muryeong,Who was the owner of the Gold Hairpin of King Muryeong?,King Muryeong,91.67
0168995,Gold Hairpin of King Muryeong,What period does the Gold Hairpin of King Muryeong date back to?,Baekje period,90.0
0168996,Gold Hairpin of King Muryeong,Where was the Gold Hairpin of King Muryeong discovered?,Tomb of King Muryeong,90.0
01691000,Silver Bracelets of the Queen Consort of King Muryeong,Who was the Queen Consort of King Muryeong?,Queen Seonhwa,60.0
01691001,Silver Bracelets of the Queen Consort of King Muryeong,In which country were the Silver Bracelets discovered?,South Korea,60.0
01691002,Silver Bracelets of the Queen Consort of King Muryeong,What period does King Muryeong's reign belong to?,Baekje period,66.67
01701006,Bronze Mirrors from the Tomb of King Muryeong,Who was buried in the tomb where these mirrors were found?,King Muryeong,91.67
01701007,Bronze Mirrors from the Tomb of King Muryeong,What was King Muryeong's reign period?,501-523 AD,66.67
01701008,Bronze Mirrors from the Tomb of King Muryeong,Where is the tomb of King Muryeong located?,South Korea,73.33
01711012,Stone Guardian from the Tomb of King Muryeong,Who was King Muryeong?,King of Baekje,70.0
01711013,Stone Guardian from the Tomb of King Muryeong,Where was the tomb of King Muryeong located?,South Korea,76.67
01711014,Stone Guardian from the Tomb of King Muryeong,What does the inscription on the stele reveal about the heritage?,Historical significance,60.0
01721018,Buried Memorial Tablets from the Tomb of King Muryeong,Who was the king associated with this tomb?,King Muryeong,96.67
01721019,Buried Memorial Tablets from the Tomb of King Muryeong,What type of tomb was this heritage found in?,Underground,56.67
01721020,Buried Memorial Tablets from the Tomb of King Muryeong,Where was this heritage discovered?,South Korea,56.67
01731024,Headrest of the Queen Consort of King Muryeong,Who was the Queen Consort of King Muryeong?,Queen Seondeok,56.67
01731025,Headrest of the Queen Consort of King Muryeong,Where was this headrest discovered?,Baekje royal tomb,85.0
01731026,Headrest of the Queen Consort of King Muryeong,What is the significance of the inscription on the headrest?,It mentions the title of the queen and her ancestry.,85.0
01741030,Footrest of King Muryeong,Who was the King associated with this footrest?,King Muryeong,90.0
01741031,Footrest of King Muryeong,Where was this footrest discovered?,In the tomb of King Muryeong,86.67
01741032,Footrest of King Muryeong,What was the occupation of King Muryeong?,King,46.67
01751036,White Porcelain Jar with Plum and Bamboo Design in Underglaze Iron,What is the technique used to create the design on this heritage?,Underglaze iron,81.67
01751037,White Porcelain Jar with Plum and Bamboo Design in Underglaze Iron,What is the significance of plum and bamboo in East Asian culture?,Symbolize resilience and perseverance,66.67
01751038,White Porcelain Jar with Plum and Bamboo Design in Underglaze Iron,What is the historical significance of white porcelain in Asian art?,Associated with purity and elegance,53.33
01761042,Celadon Ewer in the Shape of a Human Figure,What is the shape of the figure depicted in this heritage?,Human,80.0
01761043,Celadon Ewer in the Shape of a Human Figure,In what country was celadon pottery first produced?,Korea,50.0
01761044,Celadon Ewer in the Shape of a Human Figure,What was the purpose of celadon ewers in ancient times?,Used for pouring liquids.,53.33
01771048,Celadon Bottle with Bamboo Design in Relief,What material is this heritage made of?,Ceramic,56.67
01771049,Celadon Bottle with Bamboo Design in Relief,Where was Celadon pottery traditionally produced?,Korea,63.33
01771050,Celadon Bottle with Bamboo Design in Relief,What technique was used to create the design in relief on this heritage?,Carving,81.67
01781054,White Porcelain Lidded Jar with Plum,Who is believed to have created this White Porcelain Lidded Jar with Plum?,Unknown,60.0
01781055,White Porcelain Lidded Jar with Plum,What is the significance of plums in Korean culture?,Symbol of resilience and perseverance,66.67
01781056,White Porcelain Lidded Jar with Plum,What period does this heritage belong to?,Joseon Dynasty,70.0
01791060,Bronze Lidded Bowl with Silver-inlaid Phoenix Design,What type of design is inlaid on the Bronze Lidded Bowl?,Phoenix,83.33
01791061,Bronze Lidded Bowl with Silver-inlaid Phoenix Design,What is the main material used to make this heritage?,Bronze,66.67
01791062,Bronze Lidded Bowl with Silver-inlaid Phoenix Design,What is the purpose of the lid on the Bronze Lidded Bowl?,Covering the bowl's contents,46.67
01801066,Artifacts Excavated from the Tomb of Lady Jeong,Who was Lady Jeong?,Noblewoman,56.67
01801067,Artifacts Excavated from the Tomb of Lady Jeong,What was the approximate time period when Lady Jeong lived?,Goryeo Dynasty,80.0
01811071,Celadon Seated Arhat with Paste-on-paste White Dot Design,What type of design is featured on this heritage's body?,White dot,78.33
01811072,Celadon Seated Arhat with Paste-on-paste White Dot Design,What is the historical significance of the seated Arhat in Korean culture?,Represents Buddhist enlightenment,60.0
01811073,Celadon Seated Arhat with Paste-on-paste White Dot Design,Who is known for their expertise in creating celadon pottery in Korea?,Choe Chi-won,40.0
01821077,Gilt-bronze Candlesticks with Inlaid Crystal Ornaments,What type of decorative technique was used on the candlesticks?,Inlaid,80.0
01821078,Gilt-bronze Candlesticks with Inlaid Crystal Ornaments,What is the significance of crystal ornaments in this heritage?,Decorative purposes,66.67
01821079,Gilt-bronze Candlesticks with Inlaid Crystal Ornaments,Who might have used these candlesticks in the past?,Wealthy individuals or religious institutions,60.0
01831083,White Porcelain Bowl with Inlaid Lotus and Scroll Design,What materials were used to create this heritage?,Porcelain,66.67
01831084,White Porcelain Bowl with Inlaid Lotus and Scroll Design,What cultural significance do lotus flowers hold in the context of this heritage?,Purity and enlightenment,78.33
01831085,White Porcelain Bowl with Inlaid Lotus and Scroll Design,What dynasty is known for producing white porcelain with intricate designs like the one on this heritage?,Joseon Dynasty,81.67
01841089,"White Porcelain Jar with Pine and Bamboo Design and Inscription of ""the Second Hongchi Year"" in Underglaze Cobalt Blue",What is the inscription on this heritage?,"""the Second Hongchi Year""",91.67
01841090,"White Porcelain Jar with Pine and Bamboo Design and Inscription of ""the Second Hongchi Year"" in Underglaze Cobalt Blue",What material is this heritage made of?,Porcelain,60.0
01841091,"White Porcelain Jar with Pine and Bamboo Design and Inscription of ""the Second Hongchi Year"" in Underglaze Cobalt Blue",Who is believed to have created this heritage?,Unknown,63.33
01851095,Buncheong Placenta Jars with Stamped Chrysanthemum Design,What is the name of the design stamped on the Buncheong Placenta Jars?,Chrysanthemum,86.67
01851096,Buncheong Placenta Jars with Stamped Chrysanthemum Design,What is the significance of the chrysanthemum design in Korean culture?,Longevity and immortality,66.67
01851097,Buncheong Placenta Jars with Stamped Chrysanthemum Design,What period in Korean history are Buncheong Placenta Jars associated with?,Joseon Dynasty,86.67
01861101,Buncheong Flat Bottle with Incised Fish Design,Who is believed to have made this Buncheong Flat Bottle with Incised Fish Design?,Unknown,53.33
01861102,Buncheong Flat Bottle with Incised Fish Design,What material was used to create this heritage?,Ceramic,56.67
01861103,Buncheong Flat Bottle with Incised Fish Design,In which country was Buncheong pottery traditionally produced?,Korea,66.67
01871107,Buncheong Flat Bottle with Sgraffito Lotus and Fish Design,What technique was used to create the design on the Buncheong Flat Bottle?,Sgraffito,81.67
01871108,Buncheong Flat Bottle with Sgraffito Lotus and Fish Design,What is the significance of the lotus and fish design in Korean culture?,Symbolizes purity and abundance,66.67
01871109,Buncheong Flat Bottle with Sgraffito Lotus and Fish Design,What period does Buncheong ware date back to in Korean history?,14th-15th century,70.0
01881113,Sehando (Winter Scene) by Kim Jeong-hui,Who is the artist of this heritage?,Kim Jeong-hui,80.0
01881114,Sehando (Winter Scene) by Kim Jeong-hui,What is the title of this heritage?,Sehando (Winter Scene),80.0
01881115,Sehando (Winter Scene) by Kim Jeong-hui,What is the artistic style of this heritage?,Korean literati painting,76.67
01891119,Red Certificate Issued to Jang Yang-su,Who was the recipient of the Red Certificate?,Jang Yang-su,86.67
01891120,Red Certificate Issued to Jang Yang-su,What is the significance of the Red Certificate in Korean history?,Tribute to the emperor,43.33
01891121,Red Certificate Issued to Jang Yang-su,What role did Jang Yang-su play during the Goryeo dynasty?,Minister,56.67
01901125,Gilt-bronze Standing Buddha from Seonsan-eup,Where was the Gilt-bronze Standing Buddha from Seonsan-eup discovered?,Godalsa Temple site,90.0
01901126,Gilt-bronze Standing Buddha from Seonsan-eup,Who is believed to have built the Godalsa Temple?,Monk Yeogu,46.67
01901127,Gilt-bronze Standing Buddha from Seonsan-eup,What is the significance of the Gilt-bronze Standing Buddha from Seonsan-eup in Korean art history?,One of the earliest examples of standing Buddha statues in Korea.,85.0
01911131,Gilt-bronze Standing Bodhisattva from Seonsan-eup,Where was the Gilt-bronze Standing Bodhisattva from Seonsan-eup discovered?,Seonsan-eup,80.0
01911132,Gilt-bronze Standing Bodhisattva from Seonsan-eup,Who is believed to have crafted this heritage?,Unknown,63.33
01911133,Gilt-bronze Standing Bodhisattva from Seonsan-eup,What is the significance of the Bodhisattva figure in Buddhism?,Represents enlightenment and compassion.,53.33
01921137,Gilt-bronze Standing Bodhisattva from Seonsan-eup,Where was the Gilt-bronze Standing Bodhisattva from Seonsan-eup discovered?,Seonsan-eup,80.0
01921138,Gilt-bronze Standing Bodhisattva from Seonsan-eup,Who is believed to be the sculptor of this heritage?,Unknown,53.33
01921139,Gilt-bronze Standing Bodhisattva from Seonsan-eup,What is the significance of the Bodhisattva figure in Buddhist art?,Represents enlightenment and compassion,50.0
01931143,Transcription of Saddharmapundarika Sutra (The Lotus Sutra) in Silver on Oak Paper,What is the name of the sutra that is transcribed on this heritage?,Saddharmapundarika Sutra (The Lotus Sutra),96.67
01931144,Transcription of Saddharmapundarika Sutra (The Lotus Sutra) in Silver on Oak Paper,What is the name of the temple where this heritage is located?,Godalsa Temple,60.0
01931145,Transcription of Saddharmapundarika Sutra (The Lotus Sutra) in Silver on Oak Paper,What language was used to transcribe the Lotus Sutra on this heritage?,Silver,50.0
01941149,Gilt-bronze Standing Buddha from Sinhwa-ri,Who discovered the Gilt-bronze Standing Buddha from Sinhwa-ri?,Lee Seok-ho,73.33
01941150,Gilt-bronze Standing Buddha from Sinhwa-ri,What is the significance of the inscription on the stele found with the heritage?,It provides historical information,53.33
01941151,Gilt-bronze Standing Buddha from Sinhwa-ri,What is the estimated height of the Gilt-bronze Standing Buddha from Sinhwa-ri?,72.7 cm,83.33
01951155,Five-story Stone Brick Pagoda in Sanhae-ri,Where is the Five-story Stone Brick Pagoda located?,Sanhae-ri,76.67
01951156,Five-story Stone Brick Pagoda in Sanhae-ri,Who is believed to have built the Godalsa Temple?,Choe Chi-won,50.0
01951157,Five-story Stone Brick Pagoda in Sanhae-ri,What is the significance of the Five-story Stone Brick Pagoda in Sanhae-ri?,Cultural heritage site,66.67
01961161,Gold Crown from Cheonmachong Tomb,Where was the Gold Crown from Cheonmachong Tomb discovered?,"Gyeongju, South Korea",81.67
01961162,Gold Crown from Cheonmachong Tomb,How old is the Gold Crown from Cheonmachong Tomb estimated to be?,5th-6th century AD,90.0
01961163,Gold Crown from Cheonmachong Tomb,What was the purpose of the Gold Crown from Cheonmachong Tomb?,To be buried with the deceased as a symbol of power and status.,85.0
01971167,Gold Cap from Cheonmachong Tomb,What is the name of the tomb where this gold cap was discovered?,Cheonmachong,91.67
01971168,Gold Cap from Cheonmachong Tomb,Who was buried in the Cheonmachong Tomb?,Unknown nobleman,86.67
01971169,Gold Cap from Cheonmachong Tomb,In which country is the Cheonmachong Tomb located?,South Korea,60.0
01981173,Gold Waist Belt from Cheonmachong Tomb,Who was buried in Cheonmachong Tomb?,Unknown nobleman,80.0
01981174,Gold Waist Belt from Cheonmachong Tomb,What dynasty does Cheonmachong Tomb date back to?,Silla Dynasty,90.0
01981175,Gold Waist Belt from Cheonmachong Tomb,Where is Cheonmachong Tomb located?,"Gyeongju, South Korea",66.67
01991179,Gold Crown from the North Mound of Hwangnamdaechong Tomb,What is the name of the tomb where this gold crown was found?,Hwangnamdaechong,91.67
01991180,Gold Crown from the North Mound of Hwangnamdaechong Tomb,In which region was the North Mound of Hwangnamdaechong Tomb located?,Korea,56.67
01991181,Gold Crown from the North Mound of Hwangnamdaechong Tomb,What was the status of the person buried with this gold crown?,Nobility,81.67
02001185,Gold Waist Belt from the North Mound of Hwangnamdaechong Tomb,Where was the Gold Waist Belt from the North Mound of Hwangnamdaechong Tomb found?,Korea,56.67
02001186,Gold Waist Belt from the North Mound of Hwangnamdaechong Tomb,What is the significance of the Hwangnamdaechong Tomb in Korean history?,Royal tomb,53.33
02001187,Gold Waist Belt from the North Mound of Hwangnamdaechong Tomb,Who was buried in the Hwangnamdaechong Tomb?,King Muryeong,53.33
02011191,Glass Ewer and Cups from the South Mound of the Tomb No. 98,Where was the Glass Ewer and Cups found?,South Mound of Tomb No. 98,91.67
02011192,Glass Ewer and Cups from the South Mound of the Tomb No. 98,What is the significance of Tomb No. 98 in relation to the cultural heritage?,It is the location where the Glass Ewer and Cups were discovered.,80.0
02011193,Glass Ewer and Cups from the South Mound of the Tomb No. 98,What time period does the Glass Ewer and Cups from Tomb No. 98 belong to?,Unknown,90.0
02021197,Gold Necklace from the South Mound of Hwangnamdaechong Tomb,Which mound was this gold necklace found in?,South Mound,90.0
02021198,Gold Necklace from the South Mound of Hwangnamdaechong Tomb,What is the name of the tomb where this heritage was discovered?,Hwangnamdaechong,91.67
02021199,Gold Necklace from the South Mound of Hwangnamdaechong Tomb,What region is the Hwangnamdaechong Tomb located in?,South Korea,60.0
02031203,Long-necked Jar with Clay Figurines,What is the significance of the clay figurines on this heritage?,Representing deities,80.0
02031204,Long-necked Jar with Clay Figurines,What time period does this heritage belong to?,Ancient Korea,63.33
02031205,Long-necked Jar with Clay Figurines,Who created the Long-necked Jar with Clay Figurines?,Unknown,60.0
02041209,Silla Transcription of Avatamsaka Sutra (The Flower Garland Sutra),What is the name of the sutra transcribed on this heritage?,Avatamsaka Sutra,83.33
02041210,Silla Transcription of Avatamsaka Sutra (The Flower Garland Sutra),Who was responsible for the production of this heritage?,Choe Chi-won,50.0
02041211,Silla Transcription of Avatamsaka Sutra (The Flower Garland Sutra),What is the significance of the Avatamsaka Sutra in Buddhism?,It is considered one of the most important Mahayana Buddhist scriptures.,63.33
02051215,Stupa of State Preceptor Bogak at Cheongnyongsa Temple Site,Who is the Stupa of State Preceptor Bogak dedicated to?,State Preceptor Bogak,91.67
02051216,Stupa of State Preceptor Bogak at Cheongnyongsa Temple Site,What is the name of the temple site where this heritage is located?,Cheongnyongsa Temple Site,80.0
02051217,Stupa of State Preceptor Bogak at Cheongnyongsa Temple Site,What was the Stupa of State Preceptor Bogak built to commemorate?,The state preceptor's funeral.,85.0
02061221,Jeokseongbi Monument of Silla,Who was the ruler of Silla during the construction of the Jeokseongbi Monument?,King Jinheung,90.0
02061222,Jeokseongbi Monument of Silla,What does the inscription on the stele of Jeokseongbi Monument describe?,The achievements of King Jinheung,85.0
02061223,Jeokseongbi Monument of Silla,What is the significance of Jeokseongbi Monument in Korean history?,It commemorates the victory over the Baekje Kingdom.,85.0
02071227,Rock-carved Buddhas of Sinseonsa Temple in Danseoksan Mountain,Who carved the Buddhas of Sinseonsa Temple in Danseoksan Mountain?,Monks,66.67
02071228,Rock-carved Buddhas of Sinseonsa Temple in Danseoksan Mountain,What is the name of the temple where the rock-carved Buddhas are found?,Sinseonsa Temple,86.67
02071229,Rock-carved Buddhas of Sinseonsa Temple in Danseoksan Mountain,What is the significance of Danseoksan Mountain in Korean culture?,It is a sacred mountain.,56.67
02081233,Gilt-bronze Standing Bodhisattva,Who is the standing figure depicted in this heritage?,Bodhisattva,70.0
02081234,Gilt-bronze Standing Bodhisattva,Where was this heritage discovered?,Godalsa Temple,85.0
02081235,Gilt-bronze Standing Bodhisattva,Who is believed to have dedicated this heritage to the temple?,King Jinheung,56.67
02091239,Rock-carved Seated Buddha in Bukji-ri,Who discovered the Rock-carved Seated Buddha in Bukji-ri?,Kim Jeong-ho,53.33
02091240,Rock-carved Seated Buddha in Bukji-ri,What dynasty ruled during the time the Rock-carved Seated Buddha in Bukji-ri was created?,Silla,86.67
02091241,Rock-carved Seated Buddha in Bukji-ri,How tall is the seated Buddha in Bukji-ri?,3.8 meters,76.67
02101245,Avatamsaka Sutra (The Flower Garland Sutra),What is the Avatamsaka Sutra also known as?,The Flower Garland Sutra,93.33
02101246,Avatamsaka Sutra (The Flower Garland Sutra),Who is considered the central figure in the Avatamsaka Sutra?,Buddha Vairocana,90.0
02101247,Avatamsaka Sutra (The Flower Garland Sutra),In what language was the Avatamsaka Sutra originally written?,Sanskrit,83.33
02111251,Avatamsaka Sutra (The Flower Garland Sutra),What is the name of the ancient Buddhist scripture housed within this heritage?,Avatamsaka Sutra,96.67
02111252,Avatamsaka Sutra (The Flower Garland Sutra),Who is believed to have brought the Avatamsaka Sutra to Korea and placed it in this heritage?,Choe Chi-won,85.0
02111253,Avatamsaka Sutra (The Flower Garland Sutra),What is the English translation of the Avatamsaka Sutra?,The Flower Garland Sutra,86.67
02121257,Avatamsaka Sutra (The Flower Garland Sutra),What is the title of this heritage?,Avatamsaka Sutra,80.0
02121258,Avatamsaka Sutra (The Flower Garland Sutra),Who is credited with spreading the Avatamsaka Sutra in Korea?,Choe Chi-won,81.67
02121259,Avatamsaka Sutra (The Flower Garland Sutra),What is the main theme of the Avatamsaka Sutra?,Interconnectedness and the nature of reality,85.0
02131263,Goguryeobi Monument,What is the name of the heritage?,Goguryeobi Monument,70.0
02131264,Goguryeobi Monument,Who was the calligrapher that wrote the inscription on the stele?,Choe Chi-won,81.67
02131265,Goguryeobi Monument,What is the significance of the Godalsa Temple in Korean history?,It is a historic temple site from the Silla period.,36.67
02141269,Printing Woodblocks of Miscellaneous Buddhist Scriptures in Haeinsa Temple,Where are the Printing Woodblocks of Miscellaneous Buddhist Scriptures located?,Haeinsa Temple,83.33
02141270,Printing Woodblocks of Miscellaneous Buddhist Scriptures in Haeinsa Temple,What kind of scriptures are depicted on the woodblocks of this heritage?,Buddhist,66.67
02141271,Printing Woodblocks of Miscellaneous Buddhist Scriptures in Haeinsa Temple,What is the significance of the Printing Woodblocks of Miscellaneous Buddhist Scriptures in Haeinsa Temple?,They are a UNESCO World Heritage Site.,86.67
02151275,Jangni cheonmado (Painting of Heavenly Horse on a Saddle Flap) from Cheonmachong Tomb,What is the name of this heritage?,Jangni cheonmado,80.0
02151276,Jangni cheonmado (Painting of Heavenly Horse on a Saddle Flap) from Cheonmachong Tomb,Where is Cheonmachong Tomb located?,Korea,56.67
02151277,Jangni cheonmado (Painting of Heavenly Horse on a Saddle Flap) from Cheonmachong Tomb,What is the significance of the horse in Korean culture?,Symbol of nobility and power.,60.0
02161281,Gilt-bronze Reliquary from Sakyamuni Stupa of Dorisa Temple,Who is believed to have created this reliquary?,Choe Chi-won,53.33
